Distances

Density function  L_{infty} distance
1                 6e-10
2                 1.1e-09
3                 0.00138888
4                 0.00341966
5                 0.00263319
6                 0.00580835
7                 0.0163897
8                 0.0181248
9                 0.0241149
10                0.0469304
11                0.0425094
12                0.0137484
13                0.0134855
14                0.00726108
15                0.0104113
16                0.00543855
17                0.0202342
18                0.0195631
19                0.0322667
20                0.0316959
21                0.0166103
22                0.0165904
23                0.00551027
24                0.00781644
25                0.0123473
26                0.0128777
27                0.0110355
28                0.00832057
29                0.0110586
30                0.0142411
31                0.0151244
32                0.00854161
33                0.00948607
34                0.0149915
35                0.0135601
36                0.0121224
37                0.0161313
38                0.0171701
39                0.00745479
40                0.0209433

L_{infty} summation = 0.567357

Density function  Dampening
1                 6e-10
2                 3.88909e-10
3                 0.000267289
4                 0.000427458
5                 0.00023552
6                 0.000395208
7                 0.000884959
8                 0.000801011
9                 0.000893143
10                0.00148407
11                0.00116519
12                0.000330735
13                0.000287708
14                0.000138615
15                0.000179212
16                8.49773e-05
17                0.000288677
18                0.00025617
19                0.000389605
20                0.00035437
21                0.000172603
22                0.000160777
23                4.99553e-05
24                6.64802e-05
25                9.87782e-05
26                9.71352e-05
27                7.86589e-05
28                5.61586e-05
29                7.08115e-05
30                8.66686e-05
31                8.76264e-05
32                4.71862e-05
33                5.00398e-05
34                7.56184e-05
35                6.54881e-05
36                5.61221e-05
37                7.16746e-05
38                7.32989e-05
39                3.06082e-05
40                8.27855e-05

d_{infty} distance = 0.00148407
