Distances

Density function  L_{infty} distance
1                 1e-10
2                 1e-10
3                 1e-10
4                 0.00569718
5                 0.0187296
6                 0.0237785
7                 0.015017
8                 0.0165965
9                 0.0100984
10                0.0232647
11                0.018012
12                0.0377841
13                0.0300084
14                0.0426247

L_{infty} summation = 0.241611

Density function  Dampening
1                 1e-10
2                 3.53553e-11
3                 1.9245e-11
4                 0.000712148
5                 0.00167522
6                 0.00161792
7                 0.000810843
8                 0.00073347
9                 0.000374014
10                0.000735695
11                0.00049371
12                0.000908943
13                0.000640219
14                0.00081371

d_{infty} distance = 0.00167522
